Name,Code
AUSTRALIAN NATIONAL LINE,ANNU 
AMERICAN PRESIDENT LINE,APLU 
CMA CGM THE FRENCH LINE,CMDU 
COSCO,COSU 
CHINA SHIPPING,CHNJ 
EVERGREEN LINE,EGLV 
FESCO LINES,FANE 
HATSU MARINE,HTML 
HAMBURG SUD,SUDU 
HANJIN SHIPPING,HJSC 
HAPAG-LLOYD,HLCU 
HORIZON LINES,HRZD 
KMTC LINE,KMTU 
MARIANA SHIPPING PTY LTD,MEPE 
MALAYSIA INTERNATIONAL SHIPPING CORP.,MISC 
MEDITERRANEAN SHIPPING COMPANY S.A.,MSCU 
MAERSK LINE,MAEU 
NYK LINE,NYKS 
OCEAN NETWORK EXPRESS,ONEY 
ORIENT OVERSEAS CONTAINER LINE,OOLU 
PACIFIC INTERNATIONAL LINES,PILU 
REGIONAL CONTAINER LINES,RCLU 
SAFMARINE,SAFM 
SENATOR LINES,SENU 
"Sinokor Merchant Marine Co.,Ltd",SKLU 
SINOTRANS SHIPPING LTD.,12IH 
"SITC CONTAINER LINES CO., LTD",11PD 
SINOKOR MERCHANT MARINE CO. LTD,SKLU 
TASMAN ORIENT LINE,TSMN 
T.S.LINES,TSL1 
WAN HAI LINES,WHLC 
YANG MING LINE,YMLU 
ZIM LINE,ZIMU 
