OrgType,OrgCode,LocationName,Cty,Name,Address,Line2,Line3,Line4,Telephone,EmailAddress,ContactName,ediSONInstance,ediSONCompanyCode
General,ORG0001,TWTPE,,INTERNATIONAL ART ENTERPRISE,23 HSIN HU 3RD ROAD,"NEI HU DIST., TAIPEI",,,886 287915888,testingmainguyen+1@gmail.com,CAREY CHEN,,
General,ORG0002,HKHKG,,H.K. STYLE SUPPLY LTD,Bo Fung Gardens 1090 Kings Road,North Point,,,852 28898320,testingmainguyen+2@gmail.com,ANDREW WONG/IRENE WONG,,
General,ORG0003,TWTPE,,HALLEY COMET I/NATIONAL TAIWAN,575  LIN SEN ROAD,TAIPEI,,,8862 5965121,testingmainguyen+3@gmail.com,HELEN YO,,
General,ORG0004,GBMNC,,RAYBURN TRADING CO LTD,90 NORTH STREET,MANCHESTER,,,44161 2141300,testingmainguyen+4@gmail.com,HOWARD GOLDMAN,,
General,ORG0005,HKHKG,,PMS INTERNATIONAL FAR EAST LTD,68 MODY ROAD,TSIM SHA TSUI EAST KOWLOON,,,852 23761886,testingmainguyen+5@gmail.com,ARIEL,,
General,ORG0006,CNKHN,,NANCHANG HUAGAN ARTS & CRAFTS,1370 JINGGANGSHAN RD,"NANCHANG, JIANGXI",,,86 21 58390495,testingmainguyen+6@gmail.com,ZHANG HAO JING,,
General,ORG0007,INICD,,DELTA EXPORTS INTERNATIONAL,293 DHANMILL ROAD,CHATTARPUR PAHADI NEW DELHI,,,91 11 680 0561,testingmainguyen+7@gmail.com,SANJEEU,,
General,ORG0008,CNHGH,,HANGZHOU TIANYUAN PET PRODUCTS,NO 10-1 XINGLING ROAD,XING QIAO TOWN YUHANG DISTRICT HANG,,,86571 28887566,testingmainguyen+8@gmail.com,XUE YUAN CHAU,,
General,ORG0009,CNNGB,,"ZHOUSHAN E-LINE TRADING CO.,LT",126  ALLEY SOUTH CHANGSHOU RD,NINGOB ZHEJIANG,,,86 57488278981,testingmainguyen+9@gmail.com,XU TING,,
General,ORG0010,,,HOLDING DOLCIARIA ITALIANA,S.415 Paulese 26012,Castelleone,,,03 9557 1611,testingmainguyen+10@gmail.com,GERRY VAN AMEYDEN,,
