Name,Code
AUSTRALIAN NATIONAL LINE (ANL),ANNU 
AMERICAN PRESIDENT LINE (APL),APLU 
CMA CGM THE FRENCH LINE,CMDU 
COSCO,COSU 
CHINA SHIPPING,CHNJ 
EVERGREEN LINE,EGLV 
HAMBURG SUD,SUDU 
HANJIN SHIPPING,HJSC 
HAPAG-LLOYD,HLCU 
MEDITERRANEAN SHIPPING COMPANY S.A. (MSC),MSCU 
MAERSK LINE,MAEU 
OCEAN NETWORK EXPRESS (ONE),ONEY 
ORIENT OVERSEAS CONTAINER LINE (OOCL),OOLU 
PACIFIC INTERNATIONAL LINES (PIL),PILU 
SAFMARINE,SAFM 
T.S.LINES (TSL),TSL1 
WAN HAI LINES,WHLC 
YANG MING LINE,YMLU 
ZIM LINE,ZIMU 
