Name,ediSONPortCode,ModeOfTransport,CountryCode,LocationDescription,Enabled
AEAJM,AJMAE,SEA,AE,AJMAN,Y
AEAUH,AUHAE,SEA,AE,ABU DHABI,Y
AEFUJ,FUJAE,SEA,AE,FUJAIRAH,Y
AEJEA,JEAAE,SEA,AE,JEBEL ALI,Y
AEKLF,KLFAE,SEA,AE,KHOR AL FAKKAN,Y
AEQIW,QIWAE,SEA,AE,UMM AL QAIWAIN,Y
AESHJ,SHJAE,SEA,AE,SHARJAH,Y
ALDRZ,DRZAL,SEA,AL,DURRES,Y
AOCAB,CABAO,SEA,AO,CABINDA,Y
AOLAD,LADAO,SEA,AO,LUANDA,Y
AOLOB,LOBAO,SEA,AO,LOBITO,Y
AOMSZ,MSZAO,SEA,AO,NAMIBE,Y
ARBUE,BUEAR,SEA,AR,BUENOS AIRES,Y
ARROS,ROSAR,SEA,AR,ROSARIO,Y
ARUSH,USHAR,SEA,AR,USHUAIA,Y
ARZAE,ZAEAR,SEA,AR,ZARATE,Y
ATSVT,SVTAT,SEA,AT,"ST PAUL,AT",Y
AUADL,ADLAU,SEA,AU,ADELAIDE,Y
AUBNE,BNEAU,SEA,AU,BRISBANE,Y
AUFRE,FREAU,SEA,AU,FREMANTLE,Y
AUMEL,MELAU,SEA,AU,MELBOURNE,Y
AUSYD,SYDAU,SEA,AU,SYDNEY,Y
AWAUA,AUAAW,SEA,AW,ARUBA,Y
AWBAR,BARAW,SEA,AW,BARCADERA,Y
BBBGI,BGIBB,SEA,BB,BRIDGETOWN,Y
BDCGP,CGPBD,SEA,BD,CHITTAGONG,Y
BDDAC,DACBD,SEA,BD,DHAKA,Y
BDMGL,MGLBD,SEA,BD,MONGLA,Y
BEANR,ANRBE,SEA,BE,ANTWERP,Y
BEBGA,BGABE,SEA,BE,BELGRADE,Y
BEZEE,ZEEBE,SEA,BE,ZEEBRUGGE,Y
BGBOJ,BOJBG,SEA,BG,BURGAS,Y
BGVAR,VARBG,SEA,BG,VARNA,Y
BHBAH,BAHBH,SEA,BH,BAHRAIN,Y
BJCOO,COOBJ,SEA,BJ,COTONOU,Y
BMBDA,BDABM,SEA,BM,HAMILTON,Y
BRIGI,IGIBR,SEA,BR,ITAGUAI,Y
BRIOA,IOABR,SEA,BR,ITAPOA,Y
BRITJ,ITJBR,SEA,BR,ITAJAI,Y
BRMAO,MAOBR,SEA,BR,MANAUS,Y
BRNVT,NVTBR,SEA,BR,NAVEGANTES,Y
