SupplierCode,CustomerCode,ConnectionType,CustomerRefId
ORG0001,THRE0003,1,300001
ORG0002,THRE0003,1,300002
ORG0003,THRE0003,1,300004
ORG0004,THRE0003,1,300012
ORG0005,THRE0003,1,300022
ORG0006,THRE0003,1,300030
ORG0007,THRE0003,1,300043
ORG0008,THRE0003,1,300050
ORG0009,THRE0003,1,300055
ORG0010,THRE0003,1,300056
ORG0011,THRE0003,1,300064
ORG0012,THRE0003,1,300070
ORG0013,THRE0003,1,300073
ORG0014,THRE0003,1,300080
ORG0015,THRE0003,1,300082
ORG0016,THRE0003,1,300086
ORG0017,THRE0003,1,300088
ORG0018,THRE0003,1,300095
ORG0019,THRE0003,1,300100
ORG0020,THRE0003,1,300102
ORG0021,THRE0003,1,300118
ORG0022,THRE0003,1,300121
ORG0023,THRE0003,1,300125
ORG0024,THRE0003,1,300128
ORG0025,THRE0003,1,300131
ORG0026,THRE0003,1,300137
ORG0027,THRE0003,1,300159
ORG0028,THRE0003,1,300167
ORG0029,THRE0003,1,300168
ORG0030,THRE0003,1,300172
ORG0031,THRE0003,1,300176
ORG0032,THRE0003,1,300202
ORG0033,THRE0003,1,300206
ORG0034,THRE0003,1,300211
ORG0035,THRE0003,1,300213
ORG0036,THRE0003,1,300219
ORG0037,THRE0003,1,300230
ORG0038,THRE0003,1,300231
ORG0039,THRE0003,1,300232
ORG0040,THRE0003,1,300239
ORG0041,THRE0003,1,300242
ORG0042,THRE0003,1,300247
ORG0043,THRE0003,1,300248
ORG0044,THRE0003,1,300250
ORG0045,THRE0003,1,300251
ORG0046,THRE0003,1,300261
ORG0047,THRE0003,1,300263
ORG0048,THRE0003,1,300272
ORG0049,THRE0003,1,300275
ORG0050,THRE0003,1,300277
ORG0051,THRE0003,1,300283
ORG0052,THRE0003,1,300285
ORG0053,THRE0003,1,300286
ORG0054,THRE0003,1,300289
ORG0055,THRE0003,1,300294
ORG0056,THRE0003,1,300317
ORG0057,THRE0003,1,300319
ORG0058,THRE0003,1,300321
ORG0059,THRE0003,1,300322
