OrgType,OrgCode,LocationName,Cty,Name,Address,Line2,Line3,Line4,Telephone,EmailAddress,ContactName,ediSONInstance,ediSONCompanyCode
General,ORG0001,TWTPE,,INTERNATIONAL ART ENTERPRISE,23 HSIN HU 3RD ROAD,"NEI HU DIST., TAIPEI",,,886 287915888,cargoservices.shipper+300001@gmail.com,CAREY CHEN,0,INAR0003
General,ORG0002,HKHKG,,H.K. STYLE SUPPLY LTD,Bo Fung Gardens 1090 Kings Road,North Point,,,852 28898320,cargoservices.shipper+300002@gmail.com,ANDREW WONG/IRENE WONG,0,HXST0001  
General,ORG0003,TWTPE,,HALLEY COMET I/NATIONAL TAIWAN,575  LIN SEN ROAD,TAIPEI,,,8862 5965121,cargoservices.shipper+300004@gmail.com,HELEN YO,0,HACO0026  
General,ORG0004,HKHKG,,PMS INTERNATIONAL FAR EAST LTD,68 MODY ROAD,TSIM SHA TSUI EAST KOWLOON,,,852 23761886,cargoservices.shipper+300012@gmail.com,ARIEL,0,PMIN0003  
General,ORG0005,CNKHN,,NANCHANG HUAGAN ARTS & CRAFTS,1370 JINGGANGSHAN RD,"NANCHANG, JIANGXI",,,86 21 58390495,cargoservices.shipper+300022@gmail.com,ZHANG HAO JING,0,NAHU0002  
General,ORG0006,INICD,,DELTA EXPORTS INTERNATIONAL,293 DHANMILL ROAD,CHATTARPUR PAHADI NEW DELHI,,,91 11 680 0561,cargoservices.shipper+300030@gmail.com,SANJEEU,0,DEEX0003  
General,ORG0007,CNHGH,,HANGZHOU TIANYUAN PET PRODUCTS,NO 10-1 XINGLING ROAD,XING QIAO TOWN YUHANG DISTRICT HANG,,,86571 28887566,cargoservices.shipper+300043@gmail.com,XUE YUAN CHAU,0,HATI0002
General,ORG0008,CNNGB,,"ZHOUSHAN E-LINE TRADING CO.,LT",126  ALLEY SOUTH CHANGSHOU RD,NINGOB ZHEJIANG,,,86 57488278981,cargoservices.shipper+300050@gmail.com,XU TING,0,ZHEX0001  
General,ORG0009,,,HOLDING DOLCIARIA ITALIANA,S.415 Paulese 26012,Castelleone,,,03 9557 1611,cargoservices.shipper+300055@gmail.com,GERRY VAN AMEYDEN,0,HODO0005  
General,ORG0010,TWTPE,,GOLDEN HOLIDAY CO LTD,188 188 RUEIGUANG RD,TAIPEI TAIWAN ROC,,,886000000000,cargoservices.shipper+300056@gmail.com,ARTURO PAN,0,GOHO0007  
General,ORG0011,IDJKT,,PT CERMAI MAKMUR ABADI INTERNA,ROXY MAS OFFICE BLK D5/18-19,JAKARTA,,,622000000000,cargoservices.shipper+300064@gmail.com,THERESIA,0,PTCE0001  
